LONGITUDE_DECIMAL,LATITUDE_DECIMAL,OBJECTID,ID,MJESTO,LOKACIJA,ID_NADR,RANG,TIP_KOMUTA,IME,SMB,TIPSMB,LISTA,URL,N2,DIREKCIJA,OPCINA,ID_OPCINA,IME_OPCINA,MJESEC_PUS,GOD_PUSTANJA,ID_ERC,VERZIJA,TIP_PROCES,TEHNICKI_P,KLASA_TACNOSTI,NAPOMENA,SAP_TPLNR,POINT_X,POINT_Y,LONGITUDE,LATITUDE,GIS_ID,NAZIV_CENTRALE,FUNKCIJSKA_LOKACIJA,SAP_BIHNET,NAZIV_RAZDJELNIKA,NAZIV_LOKACIJE,NAZIV_UREDJAJA,NAZIV_CVORA,FIZ_NAZIV_UREDJAJA_EM,RUTER,NAZIV_RUTERA,IP_ADRESA,OPIS,POTS,ISDNBA,ISDNPRA,INST_USKP,V52,POTSUK,WLLUK,CLLUK,ISDNBAUK,ISDNPRAUK,ISKOR_USKP,XDSL,ADSL_POTS,ADSL_ISDN,ADSL2PLUS_POTS,ADS2PLUS_ISDN,ADSL2_POTS,ADSL2_ISDN,SHDSL,VSDL2,GPON_VIRTPORT,GPON_SPLITT,FTTH,INSTALIRANO_UKUPNO,ADSL,IPTV,VOIP,VOIP_GEOGRAFSKI,IPCENT,ADSL_PORT,SHDSL_PORT,FTTHPTP_PORT,GPONSPLITT_PORT,VDSL2_PORT,UKLJUCENO_UKUPNO,SE_ANNO_CAD_DATA
17.93219056,43.96609917,27886.0,5178,Ostruznica,,,,DSLAM,"5178-, DSLAM",14,,"Ostruznica-5178, DSLAM",,1,Travnik,j5,10324,Fojnica,5,2013,,,,,, ,03092,6494559.363,4869078.47,"E17° 55' 55,886""","N43° 57' 57,957""",5178,,TR-PRI-OSTR-D5178,03092,FTTC,OSTRUŽNICA,,,OSTRUZNICA_1,92,OSTRUŽNICA ORM1RAM1,10 11 16 20,7330 ISAM FTTN R5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,192.0,154.0,150.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,173.0,173.0,
18.92229861,43.61857861,28198.0,3050,Djindici,,,,MSAN,"3050-, MSAN",13,,"Djindici-3050, MSAN",,1,Goražde,g2,10367,Goražde,5,2013,,,,,, ,038130,6574430.042,4830885.243,"E18° 55' 20,275""","N43° 37' 6,883""",3050,,GO-PRI-DJIN-M3050,038130,FTTC,DJINDICI,,,Dzindici,130,DJINDICI_MSAN,10 11 217 8,SIEMENS HIX5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,216.0,163.0,166.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,188.0,188.0,
18.44472167,43.86295667,28205.0,1401,Vratnik MTU,VRAT,,,MTU I,"1401-VRAT, MTU I",14,,"Vratnik MTU-1401, MTU I",,1,Sarajevo,,11584,Stari Grad,6,2013,,,,,, ,033P14,6535743.5476,4857714.5513,"E18° 26' 40,998""","N43° 51' 46,644""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.87893167,43.42366389,28206.0,6178,Zeljusa,ŽEL,,,MSAN,"6178-ŽEL, MSAN",13,,"Zeljusa-6178, MSAN",,1,Mostar,m3,11380,Grad Mostar,5,2013,,,,,, ,036104,6490198.2379,4808828.0469,"E17° 52' 44,154""","N43° 25' 25,190""",6178,MSAN ŽELJUŠA,MO-PRI-ZELJ-M6178,036161,FTTC,ŽELJUŠA,,,Zeljusa,161,ŽELJUŠA HIX5622,10 11 216 5,ADTRAN HIX5622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,120.0,101.0,79.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,
18.36593167,43.96193194,28209.0,1403,Gora 2,GORA,,,MSAN,"1403-GORA, MSAN",13,,"Gora 2-1403, MSAN",,1,Sarajevo,,10928,Vogošaa,6,2013,,,,,, ,0331403,6529362.2768,4868678.3731,"E18° 21' 57,354""","N43° 57' 42,955""",1403,1403 GORA2 MSAN GORA2 SS AP,SA-PRI-GORA-M1403,0331403,FTTC,GORA 2 MSAN,,,Gora_2,1403,MSAN GORA 2,10 11 211 10,HIX 5630,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,120.0,43.0,40.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,52.0,52.0,
18.57332694,44.55950583,28524.0,4526,Ljepunice 2,,,KC,DSLAM,"4526-, DSLAM",14,,"Ljepunice 2-4526, DSLAM",,1,Tuzla,t13,11088,Tuzla,7,2013,,,,,, ,035301,6545540.0,4935160.0,"E18° 34' 23,977""","N44° 33' 34,221""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.57332694,44.55950583,28525.0,4527,Ljepunice 3,,,KC,DSLAM,"4527-, DSLAM",14,,"Ljepunice 3-4527, DSLAM",,1,Tuzla,t13,11088,Tuzla,7,2013,,,,,, ,035321,6545540.0,4935160.0,"E18° 34' 23,977""","N44° 33' 34,221""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.6822025,44.53707444,28526.0,4528,Korzo 3,,,KC,DSLAM,"4528-, DSLAM",14,,"Korzo 3-4528, DSLAM",,1,Tuzla,t13,11088,Tuzla,7,2013,,,,,, ,035300,6554208.9196,4932734.3775,"E18° 40' 55,929""","N44° 32' 13,468""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.53908639,44.53254361,28527.0,4529,Lukavac 4 ISAM,,,KC,DSLAM,"4529-, DSLAM",14,,"Lukavac 4 ISAM-4529, DSLAM",,1,Tuzla,t9,10601,Lukavac,7,2013,,,,,, ,035323,6542840.0,4932146.0,"E18° 32' 20,711""","N44° 31' 57,157""",4529,,TU-PRI-LKVC-D4529,035323,FTTE/CO,LUKAVAC,,,LUKAVAC_4,323,ALC LUKAVAC 4,10 11 4 41,7302 ISAM HUB R4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,24.0,480.0,0.0,0.0,36.0,732.0,470.0,283.0,0.0,155.0,4.0,83.0,4.0,15.0,0.0,395.0,497.0,
18.63225528,44.56013,28528.0,4530,Lipnica Srednja,,,KC,MSAN,"4530-, MSAN",13,,"Lipnica Srednja-4530, MSAN",,1,Tuzla,t13,11088,Tuzla,7,2013,,,,,, ,035239,6550220.2,4935263.9,"E18° 37' 56,119""","N44° 33' 36,468""",4530,SREDNJA LIPNICA MSAN ADTRAN,TU-PRI-LIPS-M4530,035320,FTTE/CO,TUZLA,,,SrednjaLipnica,320,NSN SREDNJA LIPNICA,10 11 212 13,NSN HIX5625 MSAN,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,120.0,81.0,77.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,
